Applicant_ID,Gender,Age,Marital_Status,Housing_Type,Education_Level,Income_Type,Annual_Income,Employment_Duration,Family_Members,Existing_Loans,Credit_Inquiries,Past_Due_Records,Approval_Status
ACC-10574,Male,44,Single,Own House,Secondary / Secondary Special,Pensioner,69100.0,21.5,1,1,0,0,1
ACC-10575,Male,44,Married,Own House,Secondary / Secondary Special,Working,63200.0,20.9,2,0,0,0,1
ACC-10576,Female,62,Married,Own House,Secondary / Secondary Special,Commercial Associate,101600.0,41.9,3,1,0,0,1
ACC-10577,Male,24,Single,Municipal Housing,Secondary / Secondary Special,Working,18000.0,2.5,2,0,0,1,0
ACC-10578,Female,23,Married,Own House,Incomplete Higher,Working,94900.0,2.4,2,0,1,0,1
ACC-10579,Female,54,Married,Rented Apartment,Secondary / Secondary Special,Working,84500.0,7.3,3,1,0,0,1
ACC-10580,Female,43,Civil Union,Own House,Higher Education,Working,66100.0,15.5,2,0,1,0,1
ACC-10581,Male,43,Married,Own House,Higher Education,Commercial Associate,110500.0,15.1,2,2,1,0,1
ACC-10582,Female,65,Single,Municipal Housing,Higher Education,Working,45400.0,40.6,2,0,2,1,1
ACC-10583,Female,25,Married,Own House,Secondary / Secondary Special,Pensioner,28200.0,4.2,3,1,1,0,1
ACC-10584,Male,51,Single,Own House,Secondary / Secondary Special,Working,89100.0,29.1,1,0,2,1,1
ACC-10585,Female,61,Married,Own House,Higher Education,Commercial Associate,104700.0,35.7,1,0,0,3,1
ACC-10586,Female,26,Married,Own House,Secondary / Secondary Special,Pensioner,43500.0,5.3,2,2,0,0,1
ACC-10587,Female,57,Single,Rented Apartment,Higher Education,Commercial Associate,106000.0,2.8,4,1,0,1,0
ACC-10588,Female,30,Married,Own House,Higher Education,State Servant,88400.0,8.5,2,1,0,0,1
ACC-10589,Female,60,Married,Own House,Higher Education,State Servant,111700.0,24.5,3,1,0,0,1
ACC-10590,Female,27,Married,Own House,Secondary / Secondary Special,Working,51400.0,3.0,3,1,0,0,1
ACC-10591,Male,59,Married,Own House,Higher Education,Commercial Associate,114200.0,2.7,2,2,1,0,1
ACC-10592,Female,58,Married,With Parents,Higher Education,Working,64800.0,25.9,3,1,6,4,0
ACC-10593,Female,41,Married,Rented Apartment,Higher Education,Commercial Associate,121300.0,7.2,3,1,0,0,1
ACC-10594,Male,40,Civil Union,Own House,Secondary / Secondary Special,Working,57900.0,9.6,1,2,2,0,1
ACC-10595,Female,23,Married,Own House,Secondary / Secondary Special,Commercial Associate,79100.0,2.2,2,3,0,0,1
ACC-10596,Male,42,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,72000.0,20.1,1,0,2,0,1
ACC-10597,Female,24,Married,Own House,Secondary / Secondary Special,Working,59800.0,3.4,2,1,1,0,1
ACC-10598,Female,48,Married,Own House,Secondary / Secondary Special,Working,42900.0,12.9,4,0,3,1,0
ACC-10599,Female,32,Civil Union,Own House,Higher Education,Pensioner,77200.0,5.0,2,0,0,0,1
ACC-10600,Female,58,Married,Own House,Secondary / Secondary Special,Working,77200.0,9.5,2,1,0,2,0
ACC-10601,Female,56,Separated,Rented Apartment,Higher Education,Working,60700.0,13.7,4,2,0,1,1
ACC-10602,Female,61,Married,Municipal Housing,Secondary / Secondary Special,Working,51900.0,5.0,2,1,1,0,0
ACC-10603,Female,25,Single,Own House,Secondary / Secondary Special,Pensioner,45700.0,4.9,2,1,3,0,1
ACC-10604,Female,33,Married,Own House,Secondary / Secondary Special,Pensioner,31800.0,7.7,4,0,2,0,1
ACC-10605,Female,43,Civil Union,Own House,Secondary / Secondary Special,Commercial Associate,75100.0,3.4,2,1,2,1,0
ACC-10606,Female,50,Married,Own House,Higher Education,State Servant,125600.0,10.9,3,3,1,0,1
ACC-10607,Female,57,Married,Own House,Secondary / Secondary Special,Working,42600.0,20.5,1,0,3,0,1
ACC-10608,Female,45,Married,Rented Apartment,Higher Education,Pensioner,19100.0,13.6,1,0,1,0,1
ACC-10609,Male,47,Married,Own House,Secondary / Secondary Special,Working,51800.0,1.4,2,1,0,0,1
ACC-10610,Female,34,Civil Union,Own House,Incomplete Higher,Working,57800.0,13.3,2,1,3,0,1
ACC-10611,Male,56,Married,Own House,Secondary / Secondary Special,Working,54200.0,10.3,5,1,0,0,1
ACC-10612,Male,59,Married,Own House,Secondary / Secondary Special,Commercial Associate,85900.0,1.1,5,1,0,0,1
ACC-10613,Female,36,Single,Own House,Secondary / Secondary Special,State Servant,42400.0,1.7,4,1,0,0,1
ACC-10614,Male,42,Married,Rented Apartment,Secondary / Secondary Special,Working,39100.0,13.0,2,0,1,0,1
ACC-10615,Male,41,Separated,Own House,Secondary / Secondary Special,Pensioner,30200.0,3.3,5,2,1,0,0
ACC-10616,Female,41,Single,Rented Apartment,Higher Education,Working,75600.0,1.4,3,0,0,1,0
ACC-10617,Female,28,Single,Own House,Higher Education,Working,136700.0,3.3,2,0,2,0,1
ACC-10618,Male,36,Civil Union,Own House,Higher Education,Working,124200.0,10.2,3,1,2,0,1
ACC-10619,Male,51,Married,Own House,Secondary / Secondary Special,Commercial Associate,43300.0,3.9,1,2,4,0,0
ACC-10620,Female,62,Married,Own House,Secondary / Secondary Special,State Servant,22500.0,13.5,1,2,1,0,1
ACC-10621,Female,30,Married,Own House,Secondary / Secondary Special,Working,63100.0,4.5,3,1,2,0,0
ACC-10622,Female,52,Married,Own House,Academic Degree,Commercial Associate,167100.0,5.5,2,0,2,0,1
ACC-10623,Female,54,Single,Rented Apartment,Higher Education,Working,104700.0,17.5,2,0,0,1,1
ACC-10624,Male,29,Civil Union,Rented Apartment,Higher Education,Commercial Associate,104300.0,1.2,2,0,0,0,1
ACC-10625,Female,37,Married,Own House,Higher Education,Pensioner,60000.0,1.3,4,2,1,0,1
ACC-10626,Female,31,Married,Own House,Secondary / Secondary Special,Working,88700.0,6.0,2,2,0,2,0
ACC-10627,Male,52,Separated,Own House,Secondary / Secondary Special,State Servant,68900.0,8.3,2,3,0,0,1
ACC-10628,Female,30,Married,Own House,Secondary / Secondary Special,Commercial Associate,118100.0,1.4,1,0,1,0,1
ACC-10629,Female,42,Married,Own House,Secondary / Secondary Special,Working,27900.0,9.6,2,1,0,0,1
ACC-10630,Male,37,Married,With Parents,Secondary / Secondary Special,Pensioner,54300.0,15.6,5,1,0,2,1
ACC-10631,Male,24,Civil Union,Own House,Secondary / Secondary Special,Working,52600.0,3.0,2,1,1,0,1
ACC-10632,Female,45,Married,Own House,Higher Education,Working,99100.0,20.5,2,1,2,0,1
ACC-10633,Female,41,Single,Own House,Higher Education,Working,95500.0,18.4,2,2,3,0,1
ACC-10634,Female,57,Single,Own House,Higher Education,Working,101200.0,36.0,4,0,1,1,1
ACC-10635,Female,58,Married,Own House,Incomplete Higher,State Servant,86500.0,29.1,2,0,1,0,1
ACC-10636,Female,21,Married,Own House,Secondary / Secondary Special,Commercial Associate,110600.0,0.8,3,0,1,0,1
ACC-10637,Female,45,Single,Own House,Secondary / Secondary Special,Pensioner,87900.0,9.5,2,0,0,0,1
ACC-10638,Female,56,Married,Own House,Higher Education,Working,90300.0,6.9,1,0,0,0,1
ACC-10639,Female,37,Single,Own House,Secondary / Secondary Special,Working,53100.0,11.8,4,0,2,0,1
ACC-10640,Female,61,Separated,Rented Apartment,Secondary / Secondary Special,Working,38000.0,40.8,4,0,1,1,1
ACC-10641,Female,44,Single,Own House,Secondary / Secondary Special,Working,74600.0,11.5,4,1,2,0,1
ACC-10642,Female,22,Single,Own House,Secondary / Secondary Special,Pensioner,63400.0,1.6,4,2,2,0,0
ACC-10643,Female,60,Single,Rented Apartment,Secondary / Secondary Special,Commercial Associate,50300.0,20.1,3,2,0,0,1
ACC-10644,Female,35,Single,Own House,Secondary / Secondary Special,Working,90200.0,6.8,3,0,1,0,1
ACC-10645,Male,52,Married,Own House,Secondary / Secondary Special,State Servant,62800.0,13.4,3,0,1,0,1
ACC-10646,Male,59,Married,Own House,Higher Education,State Servant,62400.0,19.9,2,0,1,4,0
ACC-10647,Male,26,Married,Own House,Secondary / Secondary Special,Working,46300.0,2.5,1,4,1,0,0
ACC-10648,Male,21,Single,Own House,Secondary / Secondary Special,State Servant,44200.0,0.9,2,1,5,0,0
ACC-10649,Female,43,Married,With Parents,Secondary / Secondary Special,Working,44600.0,20.2,5,0,2,0,1
ACC-10650,Female,59,Single,Municipal Housing,Secondary / Secondary Special,Working,77500.0,34.5,2,2,3,0,1
ACC-10651,Female,37,Married,Own House,Higher Education,Working,109000.0,4.3,4,0,0,0,1
ACC-10652,Male,54,Single,Own House,Higher Education,Working,127400.0,30.5,1,2,0,0,1
ACC-10653,Male,61,Married,Own House,Higher Education,Working,74600.0,14.3,2,0,0,0,1
ACC-10654,Female,49,Single,Own House,Secondary / Secondary Special,Working,72500.0,9.3,2,0,0,0,1
ACC-10655,Female,29,Married,Own House,Secondary / Secondary Special,Working,50800.0,6.7,1,1,1,0,1
ACC-10656,Female,33,Married,Own House,Secondary / Secondary Special,Commercial Associate,80400.0,4.3,1,2,1,0,1
ACC-10657,Female,26,Married,With Parents,Secondary / Secondary Special,Pensioner,18000.0,0.8,1,2,1,1,0
ACC-10658,Male,26,Single,Own House,Secondary / Secondary Special,State Servant,40300.0,2.6,3,1,3,0,0
ACC-10659,Male,40,Married,Own House,Secondary / Secondary Special,Working,82700.0,14.6,1,0,4,2,0
ACC-10660,Female,23,Married,Own House,Secondary / Secondary Special,Working,32400.0,1.3,2,1,0,0,0
ACC-10661,Male,37,Separated,Rented Apartment,Higher Education,Working,103500.0,10.9,1,4,3,0,1
ACC-10662,Male,32,Single,Rented Apartment,Secondary / Secondary Special,Working,50100.0,8.1,3,1,1,3,0
ACC-10663,Female,65,Separated,Own House,Higher Education,Commercial Associate,62600.0,33.2,2,2,1,0,1
ACC-10664,Female,21,Married,Own House,Secondary / Secondary Special,Commercial Associate,24200.0,0.9,2,1,2,0,0
ACC-10665,Female,37,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,112200.0,7.6,2,1,0,0,1
ACC-10666,Female,23,Civil Union,Own House,Incomplete Higher,Commercial Associate,38100.0,0.9,1,1,3,1,0
ACC-10667,Female,46,Married,With Parents,Incomplete Higher,Working,63600.0,8.6,3,1,2,0,0
ACC-10668,Female,35,Single,Own House,Secondary / Secondary Special,Working,72800.0,6.8,3,2,3,0,0
ACC-10669,Female,56,Married,Own House,Secondary / Secondary Special,Commercial Associate,51100.0,25.8,1,1,6,0,1
ACC-10670,Female,52,Married,Own House,Secondary / Secondary Special,Working,52800.0,0.9,2,1,1,1,0
ACC-10671,Male,52,Married,Rented Apartment,Secondary / Secondary Special,Working,75500.0,10.4,1,0,0,0,1
ACC-10672,Female,24,Married,Own House,Higher Education,Working,96500.0,3.2,1,0,0,0,1
ACC-10673,Female,38,Married,With Parents,Incomplete Higher,Working,54900.0,12.2,3,3,0,0,1
ACC-10674,Female,39,Married,Own House,Higher Education,Working,95200.0,14.0,2,0,0,1,1
ACC-10675,Male,63,Separated,Own House,Secondary / Secondary Special,State Servant,62800.0,35.0,1,2,2,0,1
ACC-10676,Female,55,Married,Own House,Higher Education,State Servant,68700.0,27.5,2,1,0,0,1
ACC-10677,Female,60,Single,Own House,Secondary / Secondary Special,Working,91400.0,27.4,5,2,5,1,1
ACC-10678,Male,34,Single,Own House,Higher Education,Working,94600.0,6.4,3,3,2,0,1
ACC-10679,Male,53,Married,Own House,Higher Education,Commercial Associate,64500.0,32.5,4,1,0,0,1
ACC-10680,Male,34,Married,Rented Apartment,Secondary / Secondary Special,Working,76500.0,8.2,2,2,1,3,0
ACC-10681,Female,54,Single,Own House,Secondary / Secondary Special,Working,51500.0,7.3,2,0,1,1,0
ACC-10682,Female,24,Single,Municipal Housing,Secondary / Secondary Special,Working,58600.0,1.5,2,1,1,0,0
ACC-10683,Male,44,Single,Own House,Secondary / Secondary Special,Working,65200.0,16.8,1,2,1,0,1
ACC-10684,Male,49,Single,Rented Apartment,Higher Education,State Servant,72600.0,26.9,2,0,0,0,1
ACC-10685,Male,39,Separated,Own House,Secondary / Secondary Special,State Servant,104700.0,3.8,2,1,2,2,0
ACC-10686,Male,26,Married,Own House,Secondary / Secondary Special,Working,32100.0,1.0,2,2,1,4,0
ACC-10687,Female,53,Married,Own House,Secondary / Secondary Special,Working,66200.0,29.1,3,2,2,0,1
ACC-10688,Male,60,Single,Own House,Higher Education,Working,98400.0,36.7,1,0,2,0,1
ACC-10689,Female,39,Married,With Parents,Secondary / Secondary Special,Working,65900.0,5.6,2,1,0,1,0
ACC-10690,Female,21,Civil Union,Own House,Higher Education,Pensioner,65800.0,0.7,1,0,0,0,1
ACC-10691,Female,25,Married,Own House,Higher Education,Commercial Associate,96700.0,3.5,2,1,2,0,1
ACC-10692,Female,47,Married,With Parents,Incomplete Higher,Commercial Associate,62300.0,9.2,1,1,5,0,0
ACC-10693,Female,36,Single,Own House,Secondary / Secondary Special,Commercial Associate,61900.0,14.1,2,1,1,0,1
ACC-10694,Female,26,Single,Rented Apartment,Secondary / Secondary Special,State Servant,90500.0,1.1,2,1,0,2,0
ACC-10695,Male,60,Married,Own House,Secondary / Secondary Special,State Servant,55300.0,2.0,2,0,0,2,0
ACC-10696,Female,33,Married,Rented Apartment,Secondary / Secondary Special,Working,111900.0,3.1,2,0,0,0,1
ACC-10697,Male,55,Single,Own House,Secondary / Secondary Special,Working,79700.0,10.4,2,0,0,0,1
ACC-10698,Female,39,Married,Own House,Higher Education,Commercial Associate,46300.0,2.6,2,1,1,0,1
ACC-10699,Female,32,Civil Union,Own House,Secondary / Secondary Special,Working,84400.0,1.3,2,2,2,1,0
ACC-10700,Female,36,Married,With Parents,Higher Education,Pensioner,68800.0,12.2,2,0,0,0,1
ACC-10701,Female,63,Single,Own House,Secondary / Secondary Special,Commercial Associate,49400.0,7.5,3,0,0,0,1
ACC-10702,Female,30,Single,Own House,Higher Education,Pensioner,98700.0,9.2,2,1,1,0,1
ACC-10703,Female,45,Married,Own House,Higher Education,Working,80400.0,9.5,2,1,3,0,1
ACC-10704,Female,40,Married,With Parents,Higher Education,State Servant,78500.0,13.6,4,0,1,0,1
ACC-10705,Male,51,Married,Rented Apartment,Higher Education,Working,98300.0,7.4,3,0,4,4,0
ACC-10706,Female,24,Single,Municipal Housing,Higher Education,Pensioner,95100.0,1.3,5,0,1,0,1
ACC-10707,Male,64,Married,Own House,Incomplete Higher,Working,67500.0,25.5,3,0,0,0,1
ACC-10708,Female,43,Single,Own House,Secondary / Secondary Special,Working,65900.0,13.1,2,0,0,0,1
ACC-10709,Male,22,Married,Own House,Secondary / Secondary Special,State Servant,49700.0,1.7,2,0,2,0,0
ACC-10710,Male,42,Married,Rented Apartment,Secondary / Secondary Special,Working,89800.0,16.8,3,1,1,0,1
ACC-10711,Male,57,Married,Own House,Secondary / Secondary Special,Working,67700.0,25.0,5,1,1,0,1
ACC-10712,Female,28,Married,Own House,Secondary / Secondary Special,Pensioner,40000.0,3.9,2,0,2,1,0
ACC-10713,Female,27,Married,Rented Apartment,Secondary / Secondary Special,Working,57300.0,6.3,4,1,2,0,1
ACC-10714,Female,34,Single,Own House,Secondary / Secondary Special,Commercial Associate,102600.0,8.9,2,1,0,0,1
ACC-10715,Male,23,Single,Own House,Secondary / Secondary Special,Working,59200.0,3.0,2,3,2,0,0
ACC-10716,Male,36,Married,Own House,Secondary / Secondary Special,State Servant,87600.0,13.2,4,0,1,1,1
ACC-10717,Male,39,Separated,Own House,Higher Education,Commercial Associate,94600.0,1.3,3,1,1,0,1
ACC-10718,Female,38,Single,Rented Apartment,Secondary / Secondary Special,Working,80900.0,6.1,5,1,1,1,0
ACC-10719,Male,36,Civil Union,Own House,Higher Education,Working,94600.0,9.4,3,0,1,0,1
ACC-10720,Male,28,Married,Own House,Secondary / Secondary Special,Commercial Associate,59100.0,5.9,2,3,0,0,1
ACC-10721,Female,53,Married,Own House,Higher Education,Working,88100.0,18.4,2,1,1,0,1
ACC-10722,Female,32,Married,Own House,Higher Education,Working,41800.0,9.5,4,1,0,4,0
ACC-10723,Male,31,Single,Own House,Higher Education,Commercial Associate,88600.0,3.5,2,0,1,0,1
ACC-10724,Male,25,Married,Own House,Higher Education,Working,55300.0,1.3,2,0,0,0,1
ACC-10725,Male,47,Married,Own House,Secondary / Secondary Special,Working,108900.0,1.9,2,1,0,0,1
ACC-10726,Female,32,Married,Own House,Academic Degree,Commercial Associate,90500.0,7.1,2,0,0,0,1
ACC-10727,Male,37,Married,Own House,Higher Education,Working,146900.0,11.9,1,1,1,0,1
ACC-10728,Female,26,Single,Own House,Higher Education,Working,101300.0,2.3,3,0,3,0,1
ACC-10729,Female,53,Married,Rented Apartment,Higher Education,Working,78600.0,20.4,1,1,0,0,1
ACC-10730,Female,25,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,97700.0,0.7,2,1,1,0,1
ACC-10731,Male,48,Single,Rented Apartment,Higher Education,Commercial Associate,90800.0,3.2,3,0,0,0,1
ACC-10732,Male,34,Separated,Own House,Secondary / Secondary Special,Commercial Associate,49000.0,10.0,2,1,2,0,1
ACC-10733,Female,25,Single,Own House,Secondary / Secondary Special,Working,66700.0,2.2,3,1,0,0,1
ACC-10734,Female,53,Civil Union,Own House,Secondary / Secondary Special,Working,80400.0,22.3,2,0,0,0,1
ACC-10735,Male,61,Single,Own House,Incomplete Higher,Working,93100.0,34.2,5,0,0,0,1
ACC-10736,Female,39,Single,Own House,Secondary / Secondary Special,Working,76000.0,16.3,1,0,6,0,1
ACC-10737,Male,42,Married,Own House,Secondary / Secondary Special,Pensioner,33400.0,4.2,1,0,1,0,0
ACC-10738,Female,25,Single,Municipal Housing,Secondary / Secondary Special,Working,95500.0,2.7,4,3,0,0,1
ACC-10739,Female,22,Single,Own House,Higher Education,Working,115600.0,1.6,3,1,0,0,1
ACC-10740,Female,50,Single,Own House,Higher Education,Working,95900.0,23.3,1,0,0,0,1
ACC-10741,Female,59,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,106600.0,30.7,5,0,0,0,1
ACC-10742,Male,24,Married,Own House,Secondary / Secondary Special,Commercial Associate,128100.0,1.3,2,0,2,0,1
ACC-10743,Female,53,Married,Rented Apartment,Higher Education,Commercial Associate,93000.0,6.8,5,1,1,0,1
ACC-10744,Female,33,Married,Rented Apartment,Academic Degree,State Servant,90200.0,7.9,2,0,1,0,1
ACC-10745,Male,40,Married,With Parents,Higher Education,Working,77400.0,15.0,2,1,0,0,1
ACC-10746,Female,27,Single,Own House,Secondary / Secondary Special,Working,35300.0,2.6,2,0,1,0,1
ACC-10747,Female,35,Married,Rented Apartment,Higher Education,Working,103000.0,2.0,2,2,0,1,0
ACC-10748,Male,43,Married,Own House,Secondary / Secondary Special,Commercial Associate,44600.0,16.6,2,0,0,0,1
ACC-10749,Male,34,Married,Own House,Secondary / Secondary Special,Commercial Associate,107800.0,4.5,2,1,2,3,0
ACC-10750,Female,43,Single,Own House,Secondary / Secondary Special,Commercial Associate,65200.0,4.2,1,1,0,0,1
ACC-10751,Male,39,Married,Own House,Secondary / Secondary Special,Commercial Associate,109900.0,3.2,2,1,1,1,0
ACC-10752,Male,49,Married,Own House,Higher Education,Commercial Associate,48700.0,9.5,1,2,3,0,0
ACC-10753,Female,40,Married,Own House,Secondary / Secondary Special,State Servant,56500.0,12.1,4,1,0,1,1
ACC-10754,Female,49,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,51600.0,10.7,2,1,3,0,1
ACC-10755,Male,44,Civil Union,Rented Apartment,Secondary / Secondary Special,State Servant,94800.0,1.0,3,1,0,0,1
ACC-10756,Male,38,Civil Union,Rented Apartment,Secondary / Secondary Special,Working,101900.0,2.2,5,3,0,0,1
ACC-10757,Female,30,Married,Own House,Secondary / Secondary Special,Commercial Associate,28400.0,3.3,2,1,1,4,0
ACC-10758,Male,61,Married,Rented Apartment,Secondary / Secondary Special,Pensioner,64000.0,27.2,5,3,1,4,0
ACC-10759,Male,28,Single,Own House,Secondary / Secondary Special,Working,88500.0,1.2,2,0,0,0,1
ACC-10760,Female,46,Married,With Parents,Higher Education,State Servant,97200.0,14.8,1,1,2,0,1
ACC-10761,Female,49,Married,With Parents,Higher Education,Commercial Associate,117900.0,3.9,2,3,5,0,0
ACC-10762,Female,30,Married,Own House,Higher Education,Working,101400.0,2.5,2,0,0,0,1
ACC-10763,Male,37,Civil Union,Rented Apartment,Secondary / Secondary Special,Commercial Associate,99100.0,3.3,4,3,3,0,0
ACC-10764,Female,22,Married,Own House,Higher Education,Working,66000.0,0.6,2,0,1,4,0
ACC-10765,Male,26,Married,Own House,Incomplete Higher,Pensioner,71400.0,4.2,2,3,4,0,0
ACC-10766,Male,25,Single,Own House,Higher Education,State Servant,94600.0,2.6,3,1,0,0,1
ACC-10767,Male,48,Married,Own House,Higher Education,Working,93300.0,23.4,2,0,2,0,1
ACC-10768,Female,61,Married,Rented Apartment,Secondary / Secondary Special,Working,77500.0,4.5,1,2,0,0,1
ACC-10769,Male,25,Separated,Own House,Academic Degree,Commercial Associate,97000.0,1.2,2,0,3,0,1
ACC-10770,Female,38,Married,Own House,Secondary / Secondary Special,Working,30800.0,5.9,4,0,2,0,0
ACC-10771,Male,46,Single,Own House,Secondary / Secondary Special,Working,62300.0,20.0,3,0,1,0,1
ACC-10772,Female,40,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,114000.0,6.5,2,1,0,0,1
ACC-10773,Female,61,Married,With Parents,Secondary / Secondary Special,Working,38900.0,17.0,2,4,2,0,1
ACC-10774,Male,47,Married,Rented Apartment,Incomplete Higher,Working,68900.0,8.5,1,0,1,0,1
ACC-10775,Female,32,Married,Rented Apartment,Secondary / Secondary Special,State Servant,49200.0,1.4,2,1,1,2,0
ACC-10776,Female,27,Married,Own House,Secondary / Secondary Special,Pensioner,26300.0,6.6,3,0,1,0,1
ACC-10777,Male,23,Single,Own House,Higher Education,Commercial Associate,116000.0,1.9,2,1,2,1,0
ACC-10778,Male,30,Married,Own House,Secondary / Secondary Special,State Servant,81700.0,8.0,1,0,0,0,1
ACC-10779,Male,54,Married,Own House,Secondary / Secondary Special,Working,47700.0,22.6,4,0,0,0,1
ACC-10780,Male,45,Married,Rented Apartment,Higher Education,Working,120500.0,13.1,3,0,3,0,1
ACC-10781,Female,55,Single,Own House,Higher Education,Working,99300.0,3.6,2,1,1,0,1
ACC-10782,Female,36,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,74700.0,10.5,1,2,0,1,1
ACC-10783,Female,22,Married,Own House,Higher Education,Pensioner,77600.0,0.7,1,1,0,0,0
ACC-10784,Female,44,Married,Own House,Secondary / Secondary Special,Commercial Associate,124800.0,10.2,1,0,3,0,1
ACC-10785,Male,30,Married,Own House,Secondary / Secondary Special,State Servant,81600.0,6.5,2,1,0,0,1
ACC-10786,Male,58,Married,Rented Apartment,Secondary / Secondary Special,Commercial Associate,64600.0,29.8,1,2,1,0,1
ACC-10787,Female,42,Single,Rented Apartment,Secondary / Secondary Special,Working,64600.0,15.2,3,0,3,0,1
ACC-10788,Female,46,Married,With Parents,Higher Education,Working,92900.0,17.6,5,0,0,0,1
ACC-10789,Male,63,Married,Own House,Higher Education,Working,104600.0,6.8,2,0,2,0,1
ACC-10790,Female,59,Married,Municipal Housing,Secondary / Secondary Special,Working,70300.0,13.8,2,1,1,0,1
ACC-10791,Male,47,Single,Own House,Secondary / Secondary Special,Commercial Associate,121700.0,1.6,3,1,2,0,1
ACC-10792,Female,49,Married,Own House,Higher Education,Working,85000.0,21.0,4,1,1,0,1
ACC-10793,Male,58,Married,Municipal Housing,Secondary / Secondary Special,Commercial Associate,41900.0,36.2,4,0,2,0,1
ACC-10794,Female,40,Married,Own House,Secondary / Secondary Special,Commercial Associate,84700.0,5.7,1,0,0,0,1
ACC-10795,Male,47,Married,Rented Apartment,Incomplete Higher,Working,55300.0,2.8,1,3,0,0,1
ACC-10796,Male,61,Married,Own House,Higher Education,Working,56900.0,19.8,3,0,4,0,1
ACC-10797,Male,40,Married,Own House,Academic Degree,Working,94500.0,17.2,3,3,0,0,1
ACC-10798,Male,64,Married,With Parents,Secondary / Secondary Special,Working,57100.0,24.5,1,1,2,3,0
ACC-10799,Male,39,Married,Own House,Higher Education,State Servant,115100.0,1.4,2,0,0,0,1
ACC-10800,Male,40,Married,Rented Apartment,Secondary / Secondary Special,Working,32400.0,19.5,3,1,1,0,1
ACC-10801,Female,55,Married,Own House,Secondary / Secondary Special,Commercial Associate,87700.0,29.1,1,3,2,1,1
ACC-10802,Male,22,Married,Own House,Secondary / Secondary Special,State Servant,113900.0,0.7,4,1,0,0,1
ACC-10803,Male,50,Single,Own House,Secondary / Secondary Special,State Servant,61200.0,27.7,1,2,3,0,1
ACC-10804,Female,54,Separated,Own House,Secondary / Secondary Special,State Servant,60500.0,15.6,3,0,1,0,1
ACC-10805,Male,42,Separated,Own House,Secondary / Secondary Special,Working,80800.0,8.5,2,1,1,1,1
ACC-10806,Male,23,Civil Union,Own House,Secondary / Secondary Special,Working,76500.0,1.7,2,2,2,1,0
ACC-10807,Male,26,Single,With Parents,Higher Education,Working,121200.0,5.1,3,3,0,0,1
ACC-10808,Female,35,Single,Own House,Secondary / Secondary Special,Working,61300.0,10.1,3,1,0,0,1
ACC-10809,Female,47,Married,Own House,Secondary / Secondary Special,Pensioner,60400.0,2.1,4,1,2,0,0
ACC-10810,Male,30,Single,Own House,Secondary / Secondary Special,Commercial Associate,95800.0,9.6,2,0,0,0,1
ACC-10811,Male,29,Married,Own House,Secondary / Secondary Special,Working,57600.0,1.8,3,0,0,0,1
ACC-10812,Female,53,Married,Rented Apartment,Higher Education,Working,87500.0,24.7,2,0,2,0,1
ACC-10813,Male,52,Single,Municipal Housing,Secondary / Secondary Special,Working,64800.0,20.5,2,0,2,0,1
ACC-10814,Male,26,Married,Own House,Higher Education,Commercial Associate,77800.0,1.5,4,0,1,1,0
ACC-10815,Female,61,Married,With Parents,Secondary / Secondary Special,Commercial Associate,71400.0,7.4,1,0,1,0,1
ACC-10816,Male,56,Civil Union,Own House,Secondary / Secondary Special,State Servant,97900.0,31.4,2,3,2,0,1
ACC-10817,Female,22,Married,Own House,Higher Education,Pensioner,92800.0,1.1,2,1,1,1,1
ACC-10818,Female,49,Married,Rented Apartment,Higher Education,Working,77200.0,19.2,1,1,1,2,1
ACC-10819,Female,24,Civil Union,Own House,Secondary / Secondary Special,Working,64700.0,2.3,4,4,6,0,0
ACC-10820,Male,21,Single,Rented Apartment,Higher Education,Working,111400.0,0.9,2,0,0,0,1
ACC-10821,Female,39,Married,With Parents,Secondary / Secondary Special,Working,74800.0,9.4,2,1,1,0,1
ACC-10822,Female,46,Married,Own House,Higher Education,Pensioner,87600.0,7.8,3,1,3,1,1
ACC-10823,Female,45,Married,With Parents,Higher Education,Commercial Associate,116800.0,9.4,2,0,2,0,1
ACC-10824,Female,30,Single,Rented Apartment,Higher Education,Commercial Associate,109700.0,8.7,2,1,3,0,1
ACC-10825,Male,35,Married,Own House,Academic Degree,Working,106400.0,7.3,1,0,0,0,1
ACC-10826,Female,42,Married,Own House,Secondary / Secondary Special,Working,38700.0,5.1,2,0,0,0,1
ACC-10827,Female,41,Married,Own House,Higher Education,Working,105200.0,19.7,1,0,3,1,1
ACC-10828,Male,42,Married,Municipal Housing,Secondary / Secondary Special,Commercial Associate,75100.0,17.6,3,3,1,0,1
ACC-10829,Female,56,Separated,Rented Apartment,Secondary / Secondary Special,Commercial Associate,43700.0,2.5,2,1,2,0,0
ACC-10830,Female,54,Married,Own House,Secondary / Secondary Special,Working,53000.0,34.0,2,1,0,0,1
ACC-10831,Female,50,Single,Own House,Secondary / Secondary Special,Commercial Associate,98800.0,21.0,2,1,2,0,1
